endpoint,endpoint_source,endpoint_class,grids,two_sided_rows,frames_source,dino_dist,clip_dist,pixel_gap_rel,gt_DR_med,gt_M,gt_motion_prefix,gt_motion_suffix
saint_glow_3,heldout,saint_glow,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.16277092695236206,0.22619760036468506,0.4727395474910736,0.5223565697669983,0.36538461538461536,0.03244270011782646,0.06818933039903641
shadow_1,heldin_train,shadow,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.7380674481391907,0.37065422534942627,0.800122857093811,0.2929570972919464,0.21153846153846154,0.00779819767922163,0.025569209828972816
shadow_10,heldin_test,shadow,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.299999475479126,0.12743604183197021,1.2120177745819092,0.3212451934814453,0.2980769230769231,0.010014203377068043,0.03728847950696945
shadow_3,heldin_test,shadow,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.7781041264533997,0.4156820774078369,1.2264411449432373,0.5125250816345215,0.4519230769230769,0.03776189312338829,0.03909055516123772
shadow_smoke_0,heldin_test,shadow_smoke,02_neutral__dai|04_neutral_v3__dai,4,gt_clip,0.9212679862976074,0.4271559715270996,0.5626089572906494,0.9533685445785522,0.4807692307692308,0.012227610684931278,0.0343003012239933
shadow_smoke_2,heldin_train,shadow_smoke,02_neutral__dai|04_neutral_v3__dai,2,gt_clip,0.976357102394104,0.4813467264175415,0.8247685432434082,0.5589979887008667,0.3173076923076923,0.0625014454126358,0.0049503641203045845
shadow_smoke_7,heldin_test,shadow_smoke,02_neutral__dai|04_neutral_v3__dai,5,gt_clip,0.8337105512619019,0.24978017807006836,0.9132416844367981,0.6320539712905884,0.5288461538461539,0.02123432420194149,0.041227228939533234
super_fast_run_0,heldin_test,super_fast_run,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.5219894647598267,0.2660529613494873,0.5757250189781189,0.6396135091781616,0.7307692307692307,0.025383710861206055,0.3731828033924103
super_fast_run_10,heldin_train,super_fast_run,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.8945842385292053,0.2973751425743103,0.4629970192909241,0.6560935974121094,0.375,0.011632870882749557,0.5960667729377747
super_fast_run_3,heldin_test,super_fast_run,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.5206776261329651,0.17814981937408447,0.8586867451667786,0.5556176900863647,0.4519230769230769,0.014065147377550602,0.20381030440330505
train_rush_0,heldout,train_rush,04_neutral_v3__dai,0,gt_clip,0.03831183910369873,0.03156524896621704,0.2748703062534332,2.9097461700439453,0.2692307692307692,0.07547860592603683,0.0984923243522644
train_rush_1,heldout,train_rush,04_neutral_v3__dai,0,gt_clip,0.012413620948791504,0.017924129962921143,0.20887836813926697,4.786714553833008,0.009615384615384616,0.14728125929832458,0.06608925759792328
water_bending_3,heldin_test,water_bending,02_neutral__dai|04_neutral_v3__dai,3,gt_clip,0.8594667315483093,0.32038408517837524,0.7056683897972107,0.6917510628700256,0.5288461538461539,0.029157403856515884,0.009332943707704544
water_element_3,heldin_test,water_element,04_neutral_v3__dai,0,gt_clip,0.7218706607818604,0.2802395224571228,0.25148844718933105,0.48169881105422974,0.4423076923076923,0.017431190237402916,0.1461779773235321
water_element_4,heldin_test,water_element,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.7587303519248962,0.39960432052612305,0.6262633204460144,0.5471973419189453,0.5192307692307693,0.013742240145802498,0.05753816291689873
wireframe_0,heldin_test,wireframe,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.5852553248405457,0.2746259570121765,1.5714378356933594,0.15811589360237122,0.15384615384615385,0.0013237498933449388,0.011703018099069595
wireframe_2,heldin_train,wireframe,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.37142544984817505,0.28075313568115234,1.4249324798583984,0.05753587931394577,0.2403846153846154,0.004413018003106117,0.008930305019021034
wireframe_7,heldin_test,wireframe,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.6386981010437012,0.5018529891967773,1.1598581075668335,0.2782318592071533,0.2403846153846154,0.009733306244015694,0.007543352432549
x_ray_0,heldout,x_ray,04_neutral_v3__dai,0,gt_clip,0.7333801984786987,0.3221132755279541,1.125030755996704,0.40408146381378174,0.4326923076923077,0.06583006680011749,0.022389881312847137
x_ray_1,heldout,x_ray,04_neutral_v3__dai,0,gt_clip,0.8557717800140381,0.3086836338043213,0.7691891193389893,0.35045257210731506,0.3942307692307692,0.020122380927205086,0.022341154515743256
